,Time,Source,Content
61,17:22 20/06,ערוץ 7,גורם מדיני בכיר: נהרוס את בתי המחבלים אבל לא לפני ביקור ביידן
62,17:18 20/06,ערוץ 7,"מאי גולן: ""ראש ממשלת הרזרבה יאיר לפיד מעז להאשים את הליכוד בשוחד פוליטי. מי יקנה לו מראה?"""
63,17:17 20/06,ישראל היום,בוקר עצוב בהרצליה: דולפינן נמצא מת בחוף הים
64,17:16 20/06,Ynet,מנהרה מתחת לכביש 4 ופאנלים סולאריים על הגגות: התוכנית לגוש דן ב-2040
65,17:15 20/06,מעריב,ראש המטה לביטחון לאומי ביקר היום בירדן
66,17:14 20/06,ישראל היום,"ראש המל""ל ביקר בירדן ודן בצעדים שישראל תנקוט לטובת הפלשתינים"
67,17:14 20/06,ערוץ 7,היועץ לביטחון לאומי איל חולתא ביקר בירדן
68,17:13 20/06,ערוץ 7,העצמאים לוחצים: לאשר את חוק האומיקרון
69,17:12 20/06,ישראל היום,לראשונה מאז גל העלייה מברית המועצות: שיא במספר התחלות הבנייה
70,17:12 20/06,ישראל היום,"נכנס להיכל התהילה האדום: על הבחירה של תומר גינת בהפועל ת""א"
71,17:07 20/06,מעריב,"רה""מ בנט: ""המאמצים המשותפים של שירותי הביטחון הישראלים והטורקים הביאו לסיכול של פיגועים איראנים"""
72,17:04 20/06,Ynet,"בנט הודה לארדואן: ""טורקיה וישראל סיכלו יחד כמה פיגועים, המלאכה עוד לא תמה"""
73,17:03 20/06,ישראל היום,ישראל וטורקיה סיכלו בפעולה משותפת חוליות טרור שניסו לפגוע בישראלים
74,17:03 20/06,ערוץ 7,"רה""מ בנט: ""סיכלנו מספר פיגועים ועצרנו מחבלים על אדמת טורקיה, מודה לארדואן"""
75,17:03 20/06,ערוץ 7,"גורם בכיר בממשלה: לא טוב שהממשלה נשענת על רע""מ"
76,17:00 20/06,ישראל היום,בוקר עצוב בהרצליה: דולפינין נמצא מת בחוף הים
77,17:00 20/06,ice,"גלאון לוחצת על בנט: ""התפטר והעבר את התפקיד ללפיד"""
78,17:00 20/06,ice,נועה קירל לא בוחלת באמצעים: זה הצעד כנגד עדן חסון
79,17:00 20/06,ice,פיצוי של 150 אלף שקל: מי הזכאים לתבוע?
80,17:00 20/06,וואלה,משגיח בחינות תיאוריה מי-ם נעצר בחשד שביצע מעשים מגונים בנערות
81,16:58 20/06,ישראל היום,"העונה ה-18: שרן ייני האריך רשמית את חוזהו במכבי ת""א"
82,16:58 20/06,ישראל היום,בוקר עצוב בחוף הים: דולפינין נמצא מת בהרצליה
83,16:56 20/06,mako,"דובר צה""ל: מפקד פיקוד המרכז חתם על צו החרמה והריסה לביתו של המחבל צבחי אבו שקיר, ממבצעי הפיגוע באלעד"
84,16:53 20/06,ערוץ 7,"ראשי אגודת האיכרים הגיעו להודות לסיעת ש""ס על הפלת הצו שפוגע לטענתם בענף ההטלה"
85,16:52 20/06,ערוץ 7,ראשי אגודת האיכרים הגיעו להודות לסיעת ש״ס על הפלת הצו שפוגע לטענתם בענף ההטלה
86,16:50 20/06,ערוץ 7,נעצרו 5 חשודים באירועי שוד אלימים שאירעו בתל אביב בתקופה האחרונה
87,16:46 20/06,מעריב,הכנסת אישרה תקנות לאיסור לולי כלובים
88,16:45 20/06,ice,המחסור בעובדי היי-טק – הזדמנות לצמצום פערים חברתיים בישראל
89,16:45 20/06,ice,במאי זוכה אוסקר נעצר על תקיפה מינית באיטליה
90,16:45 20/06,ice,בעלי אפריקה ישראל מלונות זכה לביקור של אורח מיוחד
91,16:45 20/06,ice,"טבע נגד הוועד: ""טובת העובדים לא עומדת לנגד עיניהם"""
92,16:45 20/06,ice,זוכה פרס נובל מוכר את המדליה למען הילדים באוקראינה
93,16:44 20/06,ערוץ 7,"ח""כ אבי מעוז: ""העולם מתחיל להתפכח מהטרלול הפוסט מודרני"""
94,16:35 20/06,mako,לפיד רומז שיתנגד להורדת אחוז החסימה: אני מאבותיו של העלאת אחוז החסימה אבל אקשיב לחבריי ונקבל החלטה
95,16:34 20/06,ערוץ 7,"ח""כ משה ארבל ביקר בבית נצח יהודה: ""מרשים ומרגש"""
96,16:34 20/06,וואלה,קנדה: חוק האוסר על ייצור ויבוא כלי פלסטיק חד פעמיים ייכנס לתוקף בדצמבר
97,16:32 20/06,Ynet,"לפיד על ההצעות לאורבך: ""עברייניות, נוודא שייחקרו"". נתניהו: ""השלם את המלאכה"""
98,16:32 20/06,ערוץ 7,אושרו התוכניות לבניית שכונת הענק החדשה של תל אביב
99,16:30 20/06,ice,בהשקעה של חצי מיליון שקל: נופי ישראל בפרסומת חדשה
100,16:30 20/06,ice,אייל גולן גזר קופון: כמה קיבל מהמכירות במזנון בהופעה?
101,16:30 20/06,ice,נועה קירל נוקמת בעדן חסון: זו הופעת הענק שמתוכננת
102,16:29 20/06,ישראל היום,חברת הדברה נקנסה לאחר שהשאירה חומר מסוכן בקופסת מטרנה בגן ילדים
103,16:28 20/06,Ynet,"הנדל על ממשלה עם נתניהו: ""טעות עושים פעם אחת""; קיש: ההיסטוריה לא תזכור שהצבענו נגד תקנות יו""ש"
104,16:23 20/06,מעריב,"דובר צה""ל: נחתם צו הריסה לבית אחד המחבלים שביצעו את הפיגוע באלעד"
105,16:22 20/06,ערוץ 7,ערבי תושב לוד חנק את אחותו למוות וקבר את הגופה בבאר
106,16:20 20/06,ישראל היום,מסתמן: חיסון נגד כלבת יחול פעם בשנתיים
107,16:15 20/06,ישראל היום,חוק הסיוע לעצמאים שנפגעו מהאומיקרון לא יעלה להצבעה
108,16:15 20/06,ice,גיא לרר חשף: התשובה המבישה של בעלי הפורום לעיתונאי הצינור
109,16:15 20/06,ice,"בכירי הנדל""ן התכנסו, זו הזווית שלהם לגבי מחירי הדיור"
110,16:07 20/06,mako,"בעלי הפורום לשעבר, יוסי שוורץ, יעמוד לדין בגין אונס ועבירות מין נוספות בשתי מתלוננות"
111,16:07 20/06,mako,"גופת גבר אותרה במצב ריקבון מתקדם - אשתו, כבדת ראייה שמרותקת למיטה, נמצאה לידו"
112,16:07 20/06,ערוץ 7,עולם השידוכים סוער: האם לשלוח תמונה?
113,16:06 20/06,וואלה,"גופת גבר נכה בן 56 אותרה בדירתו בפ""ת; אישתו הסיעודית אותרה לידו"
114,16:05 20/06,ערוץ 7,הפלסטינים דורשים קליטת 6.4 מיליון פליטים פלסטינים בישראל
115,16:02 20/06,ישראל היום,"נשאר בנגב: רותם חטואל האריך חוזהו בהפועל ב""ש בשלוש עונות"
116,16:02 20/06,ערוץ 7,"תומר גינת החליט לחתום בהפועל ת""א"
117,16:02 20/06,ערוץ 7,גבעת אוהביה | סיבת הפינוי: חריש ערבי בשטח הגבעה
118,16:00 20/06,ice,אלה החברות שמתמזגות ומקלות עליכם בהזמנת חופשה
119,15:59 20/06,ישראל היום,"איתמר ניצן נפרד מבית""ר ירושלים: ""שמח אם הצלחתי לתת השראה"""
120,15:54 20/06,mako,"צה""ל והמשטרה סיכלו הברחת סמים בגבול לבנון בשווי של כמיליון שקלים"
121,15:52 20/06,ערוץ 7,צו הריסה לבית אחד מהמחבלים שביצעו את הפיגוע באלעד
122,15:50 20/06,וואלה,בלגיה: 70 אלף עובדים יצאו לרחובות במחאה על יוקר המחיה
123,15:49 20/06,mako,"אישום נגד שמואל ברהמי, בן 55 מאשדוד, בהיותו תחת צו פיקוח על עברייני מין - ביצע מעשים מגונים בנשים"
124,15:46 20/06,Ynet,אישום נגד בעלי מועדון הפורום הפורש: אנס מבלה וביצע מעשה מגונה באחרת
125,15:45 20/06,ישראל היום,"במשרד הבריאות מודאגים: זינוק בתחלואה בקרב החוזרים מחו""ל"
126,15:42 20/06,ישראל היום,"חוזר הביתה: תומר גינת בחר לחתום בהפועל ת""א"
127,15:42 20/06,ישראל היום,"""נכון שאת רוצה את זה?"": הבעלים של מועדון הפורום מואשם בעבירות של אינוס"
128,15:39 20/06,ערוץ 7,תושב אבו סנאן יואשם בגין מעשים מגונים בקטינים עולים מאוקראינה
129,15:34 20/06,mako,"בעלי הפורום לשעבר, יוסי שוורץ, יעמוד לדין בגין אונס ועבירות מין נוספות בשתי מתלוננות"
130,15:32 20/06,Ynet,"לפיד על ההצעות לאורבך: ""עברייניות, נוודא שייחקר"". נתניהו: ""השלם את המלאכה"""
131,15:30 20/06,ישראל היום,וואטסאפ מפתיעה: ניתן להשתיק אדם ספציפי בקבוצה
132,15:30 20/06,מעריב,"כתב אישום הוגש כנגד בעלי מועדון ""הפורום"" בגין ביצוע עבירות מין בשתי מתלוננות"
133,15:30 20/06,israeldefense,"פרשנות | ישראל מנסה למכור , שוב, מערכות הגנה אווירית לאמירויות - הפעם תחת המותג Middle East Air Defense"
134,15:27 20/06,ישראל היום,הבעלים של מועדון הפורום מואשם בעבירות של אינוס
135,15:27 20/06,ערוץ 7,גבול לבנון: סוכלה הברחת סמים בשווי של כמיליון שקל
136,15:23 20/06,ערוץ 7,"כתב אישום הוגש נגד בעלי מועדון הפורום, יוסי שוורץ בגין עבירות מין"
137,15:23 20/06,ערוץ 7,נתניהו בסיעת הליכוד: כרגע אנחנו הולכים על פיזור הכנסת אלא אם נקבל מודיעין שיש בעיה
138,15:16 20/06,וואלה,ברזיל: נמצאה סירת המנוע של העיתונאי הבריטי ומומחה השבטים
139,15:15 20/06,ice,"משתתפת האח הגדול תיפרד ממותג האופנה? ""לא לוקחים אחריות"""
140,15:15 20/06,ערוץ 7,"נתניהו לאורבך: ""אסור לך להיות חלק מהביזיון והבושה, תסיים את המלאכה"""
141,15:13 20/06,ערוץ 7,"נתניהו לאורבך: ""אסור לך להיות חלק מהביזיון והבושה"""
142,15:11 20/06,וואלה,אמסטרדם: שביתה ספונטנית של צוותי הניקיון בנמל התעופה סכיפול
143,15:10 20/06,ערוץ 7,"נתניהו: ""עליות המחירים באשמת בנט, לפיד ועבאס"""
144,15:09 20/06,ישראל היום,באמצע יום לימודים: רכב עלה באש במרכז הבינתחומי
145,15:09 20/06,ישראל היום,"רודיגר הוצג בריאל מדריד: ""אני יודע שאני לוקח צעד גדול"""
146,15:07 20/06,mako,בצל המאבק בקורונה: קוריאה הצפונית סובלת ממגפה חדשה
147,15:06 20/06,ישראל היום,חיים נתן מתכנן פיננסי: כך תנצלו את המשבר הכלכלי
148,15:06 20/06,ישראל היום,מגמה חיובית: זמני הטיפול בתלונות ציבוריות התקצרו
149,15:06 20/06,ישראל היום,זה הסכום ששילמה משטרת ישראל על תביעות נזיקין ודרישות פיצוי שהוגשו נגדה
150,15:05 20/06,ערוץ 7,ניו יורק טיימס: הקליע שהרג את שירין אבו עאקלה הגיע מרכב צבאי ישראלי
151,15:04 20/06,מעריב,הוועדה לקידום מעמד האישה אישרה לדחות את התיקון לחוק למניעת אלימות במשפחה
152,15:03 20/06,ישראל היום,על חשבון סעודיה: רוסיה הפכה לספקית הנפט הגדולה ביותר של סין
153,15:03 20/06,ישראל היום,"לפיד במסר למורדים: ""מי שלא עומד במתח, שיתפטר"""
154,15:00 20/06,ישראל היום,"האם עירוני ר""ג תשחק בעונה הבאה בליגת העל?"
155,15:00 20/06,ישראל היום,תקיפה בסוריה: 15 חיילים בצבא אסד נהרגו במארב
156,15:00 20/06,ישראל היום,"""העשור הכי טוב שהיה פה"": בחזרה לשנות ה-90 בתיאטרון תמונע"
157,15:00 20/06,ice,הכאוס בתעופה: זו החברה שתבטל אלפי טיסות בקיץ הקרוב
158,15:00 20/06,ice,"סכסוך עבודה בטבע: זו הסיבה ש-1,200 עובדים ישבתו"
159,14:57 20/06,וואלה,יוון תציע למשקי בית סובסידיות להחלפת מקררים ומזגנים ישנים
160,14:55 20/06,ערוץ 7,השר לפיד מודה בשיתוף פעולה עם הרשימה המשותפת
161,14:55 20/06,Ynet,"לפיד על השריון המסתמן לאורבך בליכוד: ""הצעות עברייניות, נוודא שייחקר"""
162,14:52 20/06,ערוץ 7,השר יאיר לפיד מודה בשיתוף פעולה עם הרשימה המשותפת
163,14:49 20/06,מעריב,תושבת יבנה נעצרה בחשד לתקיפה ושוד קשיש בלוד
164,14:45 20/06,ישראל היום,"לפיד בישיבת הסיעה: ""הממשלה מגנה מפני שלטון השנאה"""
165,14:45 20/06,ice,"רותם כהן חושף: ""אני עם הפרעות קשב קיצוניות"""
166,14:45 20/06,ice,"נטלי דדון ושי מיקה פותחות חזית: ""גזל"", ""הורסת פרנסה"""
167,14:45 20/06,ice,ליונל מסי הגשים חלום למעריץ - בעזרת פיתוח ישראלי
168,14:45 20/06,ice,בעלות מאות אלפים: לימוד אנגלית כבר בגיל הרך
169,14:44 20/06,ערוץ 7,לוד: נעצרה חשודה שתקפה קשיש ושדדה את תיקו
170,14:40 20/06,ישראל היום,העיצומים במשרד החוץ צפויים לפגוע באלפי סטודנטים זרים לישראל
171,14:40 20/06,ערוץ 7,לפיד: יש לנו תפקיד היסטורי מול הקיצוניות - מי שקשה לו שילך הביתה
172,14:39 20/06,Ynet,"ליברמן ליפה בן דויד: ""מספיק עם השביתות. מציע מו""מ בלי אולטימטומים"""
173,14:39 20/06,Ynet,"גנץ: ""מערך ההגנה האווירית האזורי סיכל ניסיונות איראניים לפגוע בישראל ובמדינות אחרות"""
174,14:37 20/06,ישראל היום,יהל מלמד צפוי להצטרף להפועל גליל עליון
175,14:34 20/06,מעריב,"מטריקס תרכוש את חברת רדט ציוד ומערכות בע""מ"
176,14:34 20/06,ישראל היום,"הניו יורק טיימס: ""כוח מיוחד של צה""ל אחראי לירי בשירין אבו-עאקלה"""
177,14:34 20/06,ישראל היום,הלקוחות זועמות: האם הדיירת דיאן שוורץ תיפרד מעדיקה?
178,14:32 20/06,וואלה,"ליברמן: ""אין מקום לכל הניסיונות לתדלק את מחאת הדיור"""
179,14:32 20/06,Ynet,"גנץ: ""מערך ההגנה האווירית האזורי נגד איראן סיכל ניסיונות לפגוע בישראל ובמדינות אחרות"""
180,14:32 20/06,רוטר.נט,ליברמן: קורא ליפה בן דוד תפסיקו עם השביתות| נקיים מו'מ רק בשבוע הבא| המחירים כאן עלו אבל לא בהרבה
181,14:30 20/06,ice,נעליים חדשות? זה מותג היוקרה האמריקאי שיגיע לישראל
182,14:30 20/06,ice,נועה קירל מחקה את התמונות באינסטגרם - ואז זה קרה
183,14:30 20/06,ערוץ 7,דני דנון: ממשלה שלא מסוגלת להיאבק בטרור - אין לה זכות קיום
184,14:29 20/06,מעריב,"ילד בן 4 נמשה מבריכה בפרדס חנה כרכור כשהוא מעורפל הכרה, מצבו בינוני"
185,14:25 20/06,ישראל היום,"חה""כ ניר אורבך החליט שלא לתמוך בפיזור הכנסת השבוע | זהו התסריט שבו החוק יעבור בלעדיו"
186,14:24 20/06,ערוץ 7,"בן גביר לחרדים: ירי בנגמ""ש – טעות חמורה"
187,14:24 20/06,ערוץ 7,"ילד בן 4 טבע בבריכה בפרדס חנה, מצבו בינוני"
188,14:18 20/06,מעריב,"נשיא ארה""ב הודיע כי יטוס לערב הסעודית, אך לא יפגש עם יורש העצר"
189,14:17 20/06,ערוץ 7,"ליברמן: ""אין מקום לניסיונות לתדלק את מחאת הדיור"""
190,14:17 20/06,Ynet,"ליברמן ליפה בן דויד: ""מספיק עם השביתות. מציע מו""מ מיום ראשון, בלי אולטימטומים"""
191,14:15 20/06,ice,"היהלומנים הישראלים מדווחים על תנועה חזקה: ""הצלחה גדולה"""
192,14:15 20/06,ice,משדר תרומות לארגון שלוה: זה הסכום שגוייס
193,14:15 20/06,ice,לאחר תחקיר הצינור: בעלי הפורום הואשם בעבירות מין
194,14:15 20/06,ice,חומר רעיל בפינת המשחקים: קנס לחברת ההדברה שסיכנו ילדים
195,14:13 20/06,mako,גורמים בכנסת מספרים שאורבך לא יתמוך השבוע בפיזור הכנסת
196,14:13 20/06,ישראל היום,"מקרה אלימות חמור ביו""ש: גבר וכלבו תקפו ילד במגרש משחקים"
197,14:13 20/06,ישראל היום,"ליברמן על מחירי הדיור: ""יש ניסיונות לתדלק מחאה"""
198,14:13 20/06,ערוץ 7,ליברמן: קורא ליפה בן דוד - קחו פסק זמן עם השביתות
199,14:11 20/06,ישראל היום,צפי לפקקי ענק: כבישים מרכזיים ייחסמו בעקבות שינוע מטען חורג
200,14:11 20/06,ישראל היום,שבוע גורלי לקואליציה: הסיעות מתכנסות
201,14:10 20/06,ערוץ 7,ליברמן: קורא ליפה בן דוד - קחו פסק זמן
202,14:08 20/06,ערוץ 7,גבר בן 37 נעצר בחשד שתקף קטין באחד היישובים בבנימין
203,14:06 20/06,ערוץ 7,הליכוד: ישיבת הסיעה תיערך כמתוכנן בשעה 15:00
204,14:04 20/06,ישראל היום,שבוע גורלי לקואליציה: הסעות מתכנסות
205,14:04 20/06,ישראל היום,"אורבך החליט שלא לתמוך בפיזור הכנסת השבוע; ח""כ גנאים בדרך להתפטר?"
206,14:02 20/06,ערוץ 7,אורבך החליט: לא יתמוך השבוע בפיזור הכנסת
207,14:00 20/06,מעריב,היצוא עד חודש מאי השנה גדל ב-21.3% ל-80.73 מיליארד שקלים
208,14:00 20/06,ice,קוקה קולה במהלך מפתיע: זה המשקה החדש שבדרך
209,13:56 20/06,ישראל היום,מ-149 שקלים: 10 כיסאות שיזוף שיעבירו לכם את הקיץ
210,13:54 20/06,Ynet,"פעילות השיטור העירוני תפוג, בכיר הליכוד לנתניהו: ""לא יהיה מי שישמור על הילדים"""
211,13:53 20/06,ישראל היום,מ-149 שקלים: 10 כסאות שיזוף שיעבירו לכם את הקיץ
212,13:53 20/06,ערוץ 7,"חגית משה: ניר אורבך בחר ברגע האחרון לקום, לעזוב, ולהשאיר את הכל תוהו"
213,13:53 20/06,Ynet,"המחבלים הורשעו שנתיים אחרי שרגמו באבנים ילדה בת 10: ""כמעט אסון"""
214,13:46 20/06,ישראל היום,שריפה או הצפה בבית: מי משלם את הנזק – ואיך לקבל פיצוי הולם?
215,13:45 20/06,israeldefense,סיימוטיב טכנולוגיות: חולשה בתקן CANFD לתקשורת רכבים מאפשרת תנועה רוחבית ברכב
216,13:45 20/06,ice,עוקץ חדש נחשף: כך נגנבו מיליוני שקלים מאזרחים תמימים
217,13:43 20/06,מעריב,במהלך השנה האחרונה: כמעט 69 אלף דירות החלו להיבנות בישראל
218,13:40 20/06,ישראל היום,"מפולת בשוק הקריפטו: ""המשקיעים מעדיפים אפיקי השקעה סולידיים"""
219,13:40 20/06,מעריב,עלייה קלה בשיעורי האבטלה בישראל בחודש מאי
220,13:39 20/06,וואלה,אתיופיה: לפחות 260 אזרחים נהרגו בתקיפה של חמושים
221,13:39 20/06,Ynet,שנתיים לאחר שרגמו באבנים ילדה בת 10: המחבלים הורשעו
222,13:37 20/06,מעריב,עלייה קלה בשיעורי האבטלה בחודש מאי בישראל
223,13:37 20/06,ערוץ 7,מתן פלג באולפן בערוץ 7: מערכת המשפט היא הדבר הראשון שצריך לטפל בו
224,13:35 20/06,ישראל היום,"עמותת ""עד כאן"" זכתה לאישור להטבות מס: ""אנחנו השכפ""ץ של חיילי צה""ל"""
225,13:32 20/06,מעריב,הבהרה: תגובת המועצה הדתית חיפה לפרסום שעסק בהסרת כשרות בסניף פיצה האט בביג הקריות
226,13:30 20/06,ice,הביטוח הלאומי בהודעה מפתיעה: זה המהפך בקצבאות
227,13:30 20/06,ice,"מהיום גם על זה תקבלו דו""ח: אלו התקנות החדשות"
228,13:28 20/06,ערוץ 7,"אושר מינויו של ח""כ האוזר ליו""ר ועדת המשנה לקליטת עלייה וקשר עם התפוצות"
229,13:28 20/06,Ynet,שנתיים לאחר שרגמו באבנים ילדה בת 10: המחבלים הורשעו בעבירה מקלה
230,13:27 20/06,ערוץ 7,"אושר מינויו של ח""כ האוזר ליו״ר ועדת המשנה לקליטת עלייה וקשר עם התפוצות"
231,13:25 20/06,ערוץ 7,בוטלה ישיבת סיעה הליכוד שתוכננה היום
232,13:23 20/06,mako,איראן הודיעה שהיא נערכת לשחרר את שתי מכליות הנפט היווניות שנתפסו במיצר הורמוז לפני כמה שבועות
233,13:22 20/06,ערוץ 7,שיעור האבטלה במשק עלה בחודש מאי
234,13:22 20/06,רוטר.נט,"מפקד השייטת לשעבר בדיון בכנסת: אי אפשר להתייפף, הקריטריונים לגברים ונשים בלחימה - שונה"
235,13:21 20/06,ערוץ 7,"מצפה רמון: הושלמה הרכבת האסיפה הבוחרת את רב העיר, הבחירות ייערכו בספטמבר"
236,13:20 20/06,ישראל היום,"בהפועל ב""ש עידכנו: מאור מליקסון עבר תהליך רפואי תקין"
237,13:20 20/06,ישראל היום,"בקואליציה מדווחים על התקדמות בנוגע להתפטרות גנאים, ח""כ ביטון מרכך את חרם ההצבעות"
238,13:19 20/06,מעריב,הבורסה לניירות ערך בתל אביב ממשיכה להתחזק עם עליות שערים
