,Time,Source,Content
45,13:50 20/06,Bizportal,"חמישה חשודים נעצרו בחשד שהונו משקיעים וגנבו כ-120 מיליון שקל, ביניהם בן של רמטכ""ל"
46,13:50 20/06,Bizportal,עליה בשיעור האבטלה ל-3.5% מכוח העבודה
47,13:50 20/06,Bizportal,ישראייר מגייסת 21-25 מיליון שקל ותחל להיסחר השבוע לפי 240 מיליון
48,13:45 20/06,ice finance,בנק לאומי מעריך: ירידה במחיר הנפט - לא בזמן הקרוב
49,13:35 20/06,גלובס,ניתוח טכני: מדד 500 S&P מתקרב לתיקון. כמה זמן הוא יימשך?
50,13:35 20/06,כלכליסט,"בורסת לונדון עולה בכמעט 1% - מניות הנדל""ן מאבדות גובה"
51,13:25 20/06,כלכליסט,החברות מאשרות: איילון מעוניינת למכור למיטב את חלקה במיטב גמל
52,13:20 20/06,כלכליסט,ייצוג דמויות הנשים באוואטרים של דיסני+ פגום ביסודו - וזה מאוד לא מפתיע
53,13:15 20/06,ice finance,"שוק הנדל""ן חוגג שיא: איזו עיר זינקה בהתחלות הבנייה?"
54,13:15 20/06,ice finance,דיסקונט יממן הקמת בתי חולים בגאנה ב-500 מיליון שקל
55,13:15 20/06,ice finance,טום קרוז מציג: קנייה בלתי אפשרית ב-39.5 מיליון דולר
56,13:10 20/06,גלובס,"התחלות הבנייה בשיא של כ-30 שנה, ואלו הערים המובילות"
57,13:10 20/06,גלובס,חנן מור מצא אלטרנטיבה לשוק: מגייס מקרן ריאליטי 75 מיליון שקל להקמת מגדל בגבעתיים
58,13:10 20/06,כלכליסט,"ממשיכים להתנדנד: עלייה באבטלה במאי, אך גם בשיעור התעסוקה"
59,13:05 20/06,כלכליסט,הנמר השואג הפך לנמר המחשמל
60,13:05 20/06,כלכליסט,שיא היסטורי במספר התחלות הבנייה - קצב של 80 אלף דירות בשנה
61,12:55 20/06,Bizportal,"המשכירים צודקים - שכר הדירה צריך לעלות; המדינה נלחמת במשקיעים, גרעה 23 אלף דירות משוק השכירות - והיא אשמה בעליית המחירים"
62,12:50 20/06,כלכליסט,"כשלים בפרשת כרייף-נוה וגניזת תיק פשע חמור מבלי לעיין בכל חומר החקירה: הדו""ח על הפרקליטות"
63,12:50 20/06,כלכליסט,חשמליות של MG ופלאג-אין של קיה: היבוא המקביל עוקף בסיבוב את היבוא הישיר
64,12:45 20/06,ice finance,"שר הבינוי והשיכון אלקין בהצהרה מפתיעה: ""תומך במחאת הדיור"""
65,12:35 20/06,גלובס,"עליות בבורסה; פז מזנקת ב-6.7%, אלרון קופצת ב-17%"
66,12:20 20/06,כלכליסט,טלגרם מגיעה ל-700 מיליון משתמשים בחודש ופותחת רשמית את שירות הפרימיום
67,12:10 20/06,גלובס,עליות קלות באירופה; הביטקוין מזנק ושוב חוצה את רף ה-20 אלף דולר
68,12:10 20/06,כלכליסט,עובדים מהבית? ייתכן שמגיע לכם החזר מס
69,12:00 20/06,גלובס,הנפקת ישראייר גרופ תתקיים היום: תנסה לגייס לפחות 21.5 מיליון שקל
70,12:00 20/06,ice finance,"75 מיליון שקלים לקבוצת הנדל""ן: זה הסכם המימון שסגרה"
71,12:00 20/06,ice finance,לעשירים בלבד: לחנות החדשה של שאנל לא תוכלו להיכנס
72,12:00 20/06,Bizportal,"שווקים בעולם: אסיה במגמה מעורבת, אירופה בעליות קלות"
73,12:00 20/06,Bizportal,לאחר שהעסקה כמעט ונפלה: אלרון משנה את תנאי מכירת קרטיהיל לביוונטוס
74,12:00 20/06,Bizportal,איזה מוצר פנסיוני רוב המוסדיים מעדיפים שלא נכיר?
75,11:50 20/06,גלובס,"למרות הטענות: אין תחליף לניהול הריכוזי של רמ""י"
76,11:50 20/06,גלובס,"מדד תשומות הבנייה מזנק, ורוכשי הדירות החדשות ייאלצו לשלם הרבה יותר"
77,11:50 20/06,גלובס,רשות התחרות בוחנת את החזרת שיכון ובינוי לרשימת הגורמים הריכוזיים
78,11:50 20/06,כלכליסט,"מתגברות העליות בבורסת ת""א; מליסרון מתחזקת ב-4%"
79,11:45 20/06,כלכליסט,"טראקס תפטר 100 עובדים, מחציתם בישראל"
80,11:25 20/06,כלכליסט,ועדת הכלכלה אישרה סמכויות חדשות לפקחים נגד רוכבי אופניים וקורקינטים
81,11:20 20/06,גלובס,הקריסה של בי-קיור לייזר נמשכת: חותכת את התחזית ל-2022 ומנסה להתייעל
82,11:10 20/06,גלובס,"עליות קלות בבורסה; אלרון קופצת ב-17%, האב ב-9.5%"
83,11:05 20/06,Bizportal,בדרך לרגיעה בוול סטריט? מהי רמת התמיכה שמנתחים טכניים מתמקדים בה?
84,11:05 20/06,Bizportal,צמוד עם יתרון לקשת: מאסטר שף גברה על האח הגדול
85,11:05 20/06,כלכליסט,בעל מניות נוסף מאיים בתביעה נגזרת נגד יונט גרדיט
86,11:00 20/06,ice finance,"שיכון ובינוי נדל""ן: נזילה עם עודף נכסים ופוטנציאל"
87,10:55 20/06,כלכליסט,"פרויקט ""כל הקופה"" חוזר: אמני ההיפ-הופ הגדולים בישראל מתאחדים על במה אחת"
88,10:45 20/06,כלכליסט,יציבות בפריז ובפרנקפורט לאחר המפנה בפרלמנט הצרפתי
89,10:35 20/06,כלכליסט,חמישה עצורים בהונאת ענק בינלאומית בהיקף של 120 מיליון שקל
90,10:30 20/06,גלובס,אלטשולר שחם איבדה למתחרות 4 מיליארד שקל במאי. וכמה מתחילת השנה?
91,10:25 20/06,גלובס,"מגמה מעורבת באירופה; הביטקוין מתייצב, הנפט בעלייה קלה"
92,10:15 20/06,גלובס,"מגמה מעורבת בבורסה; שפיר עולה ב-2.4%, דנאל ב-2%"
93,10:15 20/06,כלכליסט,"עליות מתונות בת""א; מניית הבורסה לני""ע מאבדת 3%"
94,09:35 20/06,גלובס,"הסבירות למיתון בארה""ב גוברת ככל שהאינפלציה מעמיקה"
95,09:30 20/06,גלובס,קרטיהיל תימכר לביוונטוס למרות בעיות המימון של הרוכשת
96,09:30 20/06,גלובס,זה כבר לא תסריט דמיוני: האם האירו ישתווה לדולר
97,09:30 20/06,ice finance,דריכות לקראת תחילת שבוע המסחר בניו יורק; עליות בחוזים
98,09:25 20/06,כלכליסט,נבחרת ישראל בכדורגל מציגה: סטטוס קוו
99,09:05 20/06,גלובס,מדד תשומות הבנייה מזנק: בכמה יקפצו התשלומים של הרוכשים?
100,09:05 20/06,כלכליסט,חשמליות של MG ופלאג אין של קיה: היבוא המקביל עוקף בסיבוב את היבוא הישיר
101,08:40 20/06,גלובס,"נדל""ן, סחורות או מניות: במה כדאי להשקיע כשהשווקים נופלים?"
102,08:20 20/06,Bizportal,המשכירים צודקים - שכר הדירה צריך לעלות
103,08:05 20/06,גלובס,"מגמה מעורבת באסיה; הביטקוין מתייצב, הנפט בירידה קלה"
104,07:30 20/06,כלכליסט,בתקווה להמשך העליות: ממתינים לפתיחת המסחר בבורסה
105,07:15 20/06,ice finance,מהפכה במטוסים: השקעת ענק של מיליונים תשנה את התחום?
106,07:15 20/06,ice finance,"שיכון ובינוי נדל""ן נזילה עם עודף נכסים ופוטנציאל"
107,07:15 20/06,כלכליסט,מניות הקזינו יורדות בהונג קונג בעקבות התפרצות קורונה במקאו
108,07:10 20/06,כלכליסט,היפים והנכונים לקיץ הקרוב: כל מה שתצטרכו לעונה החמה
109,07:00 20/06,כלכליסט,"""רציתי להיות זרה בארצי"": האמנית נורית ירדן בתיעוד ישראלי יוצא דופן"
110,07:00 20/06,כלכליסט,פספסו בענק: ביקורת על הסרט החדש של פיקסאר
111,06:55 20/06,גלובס,"כאב הראש של משקיעי הקריפטו: ההשקעה התאדתה, חבות המס האדירה נשארה"
112,06:55 20/06,גלובס,הפתרון של לאומי לירידות בשוקי ההון? יציע ללקוחות ייעוץ בהשקעות אלטרנטיביות
113,06:55 20/06,גלובס,אלטשולר שחם סוגר עוד חודש של אובדן כסף למתחרים
114,06:20 20/06,כלכליסט,חצי השנה הקשה של שוק הרכב הישראלי
115,06:20 20/06,כלכליסט,גואטה תשרטט את גבולות המונופול של איתי בן זאב
116,06:10 20/06,כלכליסט,"מנכ""ל הבורסה דורש מהבנקים למכור את אחזקותיהם במניותיה"
117,06:10 20/06,כלכליסט,נכנסת לשיפוץ: לגאסי רוכשת 55% מל.כ. כלי עבודה וציוד
118,06:10 20/06,כלכליסט,איילון שמה את חלקה בחברת הגמל של מיטב על המדף
119,06:10 20/06,כלכליסט,בלגן המזוודות הוא רק הקדימון: מה מחכה לטסים
120,06:10 20/06,כלכליסט,סיימוטיב: חולשת אבטחה בתקן תקשורת בכלי רכב
121,06:10 20/06,כלכליסט,שביעות הרצון מקופות החולים הקטנות מתחזקת
122,06:10 20/06,כלכליסט,בניגוד לפסיקה: בוטלו טיסות אל על
123,06:10 20/06,כלכליסט,היקף השימוש ברוגלות הוסתר גם בדיווחי האזנות הסתר לשנת 2021
124,06:10 20/06,כלכליסט,"קנדל נגד הטרנד של חברות הטכנולוגיה: ""מרכז פיתוח לא מייצר לישראל כמעט דבר"""
125,06:10 20/06,כלכליסט,"הממשלה אישרה: עוד 1,700 עובדים זרים למלונאות"
126,06:10 20/06,כלכליסט,התאגיד ההודי רילאיינס של מוקש אמבאני בוחן רכישת רבלון
127,06:10 20/06,כלכליסט,לנדוור קונה את מאפיית לחמים ב־44 מיליון שקל
128,23:00 19/06,Bizportal,"אתם יכולים לנחש מי הריץ היום את המטבעות הדיגיטליים ב-40 מיליארד דולר, נכון?"
129,22:50 19/06,טלנירי,פסגות: שבוע סוער בגזרה המוניטארית
130,22:45 19/06,טלנירי,הקריפטו בישראל חצה את הרוביקון
131,22:45 19/06,ice finance,"בנק הפועלים מזהיר: המיתון נושף בעורף, השכירות תמשיך להתייקר"
132,22:40 19/06,טלנירי,לראשונה בבית חולים בישראל:
133,22:35 19/06,טלנירי,"ה""מאני טיים"" של עולם השירות וחווית הלקוח:"
134,22:35 19/06,טלנירי,חידושים בפלטפורמת נטאפ:
135,22:30 19/06,טלנירי,"שת""פ ראשון מסוגו לעידוד התנהלות פיננסית נבונה:"
136,22:25 19/06,טלנירי,הרשות הממשלתית להתחדשות עירונית מוציאה לפועל את מודל הקרקע המשלימה החדש
137,22:15 19/06,טלנירי,"חברת וויי-בוקס נדל""ן גייסה 205 מיליון שקל ממשקיעים מוסדיים"
138,22:15 19/06,טלנירי,חברת City Transformer גייסה 10 מיליון דולר בסבב גיוס A
139,22:15 19/06,ice finance,"פלוג על התכנית בשוק השכירות: ""לא יעשה את העבודה"""
140,22:05 19/06,טלנירי,ממשיכים להילחם ביוקר המחיה
141,22:05 19/06,טלנירי,חברת אחים דוניץ קיבלה טופס 4 למגדל השישי בפרויקט קריית האמנים בראשון לציון
142,22:05 19/06,Bizportal,"הממשלה אישרה להקים 4,200 דירות בשדרות"
143,22:00 19/06,טלנירי,מטריקס מקימה חברת שירותי אבטחת מידע בתחום ה-OT
144,21:30 19/06,ice finance,"נאוויטס ורציו פטרוליום בשת""פ חיפושי גז ונפט בפיליפינים ומרוקו"
145,21:15 19/06,כלכליסט,האינפלציה דוחקת את ביידן לבטל מכסי ענישה מעידן טראמפ
146,21:10 19/06,Bizportal,"מטא ואלפבית עלולות לספוג מכה בפרסומות ובהכנסות, אם הכלכלה תידרדר למיתון"
147,21:10 19/06,Bizportal,"נעים להכיר: המדדים המובילים בארה""ב"
148,21:10 19/06,Bizportal,גרמניה תחזור להפעיל תחנות בפחם כתוצאה מהמחסור בגז
149,20:15 19/06,גלובס,"משקיעים צעירים או מבוגרים, כך תתמודדו עם השוק הדובי"
150,20:15 19/06,גלובס,בכירי יונט קרדיט מתנערים מחלקם באי-הסדרים הכספיים
151,20:00 19/06,ice finance,אבי גבאי בצעד מפתיע: השינוי שהוביל עם כניסתו לתפקיד
152,19:45 19/06,כלכליסט,נאוויטס מצטרפת לרציו פטרוליום: תחזיק 30% מהקידוחים בפיליפינים ובמרוקו
153,19:30 19/06,כלכליסט,הסתדרות המורים תשבית גם מחר את הלימודים עד 10:00
154,19:20 19/06,Bizportal,"""הסקטור הציבורי מתנהל בצורה של בריונות: מי ששולט בנמל ובחשמל - מקבל משכורת מטורפת"""
155,19:05 19/06,גלובס,איך להתמודד עם שוק דובי בשלב שבו אתם מצויים בחיים
156,19:00 19/06,ice finance,מפעליו של עידן עופר זומנו לשימוע במשרד להגנת הסביבה
